utterance,act
im looking for a restaurant in the south part of town that serves christmas food,inform
christmas food,inform
christmas food,inform
christmas,inform
chinese food,inform
chinese food,inform
yes,affirm
i dont care,inform
whats their address,request
peking restaurant,inform
whats the address,request
whats the price range,request
thank you goodbye,thankyou
brazilian food,inform
brazilian food,inform
no,negate
dont care,inform
dont care,inform
brazilian food,inform
korean type food,inform
phone number,request
phone number,request
thank you good bye,thankyou
im looking for a moderately priced restaurant serving spanish food,inform
what is the address and phone number,request
what is the phone number,request
thank you good bye,thankyou
noise,no_act
noise im looking for a restaurant serving vegetarian food,inform
vegetarian food,inform
noise,no_act
im looking for a restaurant serving vegetarian food,inform
how about vietnamese type of food,reqalts
if there is no such venue how about vietnamese type of food,inform
no,negate
how about vietnamese type of food,reqalts
im loooking for a restaurant serving vietnamese type of food,inform
can i have the address of the venue,request
noise,no_act
thank you goodbye,thankyou
im looking for a restaurant that serves turkish food,inform
turkish,inform
i dont care,inform
i dont care,inform
whats the address,request
thank you good bye,thankyou
im looking for an expensive restaurant,inform
in the east,inform
yes,affirm
the east part of town,inform
um anything else,inform
what is the address and phone number,request
thank you good bye,thankyou
i need a restaurant that serves canape,inform
um no,negate
no,negate
i need a restaurant that serves canape,inform
i need a restaurant that serves canape,inform
ah how bout a turkish type of food,reqalts
yes and it needs to be moderately priced,affirm
it doesnt matter,inform
um doesnt matter,inform
any,inform
whats the address,request
goodbye thank you,thankyou
looking for a restaurant in the south part of town with german food,inform
yeah,affirm
what about chinese type food,reqalts
what about chinese type of food,reqalts
what about chinese type of food,reqalts
yeah,affirm
yeah,affirm
i dont care,inform
what is their address,request
and the price range,request
thank you good bye,thankyou
cheap,inform
cheap,inform
cheap,inform
yes,affirm
yes,affirm
north,inform
cheap,inform
cheap,inform
cheap,inform
anything else,reqalts
phone number,request
thank you good bye,thankyou
system saying hello welcome,no_act
hi,hello
it serves turkish food,inform
doesnt matter,inform
it doesnt matter,inform
cheap restaurant,inform
how about italian food,reqalts
how about italian food,reqalts
is there anything else,reqalts
could i have the address and phone number,request
thank you goodbye,thankyou
unintelligible,no_act
welsh food,inform
welsh food,inform
asian oriental,inform
north,inform
cheap,inform
address and phone number,request
noise,no_act
im looking for a cheap restaurant in the west part of town,inform
it doesnt matter,inform
address,request
thank you good bye,thankyou
im looking for a restaurant in the center,inform
im looking for french food,inform
are there any others,reqalts
are there any other restaurants,reqalts
ah im looking for a restaurant in the center serving french food,inform
can i get the address,request
